,text_agent,category_agent,sub-category_agent,speaker_customer,text_customer,clean _text_custumer,cleaned_text_of_custumer_for_clusters,cluster_for_custumer,clean_text_agent_corpus
1240,rodriguez domingo,single_item_query,boots_other_1,customer,yes,yes,yes,183,rodriguez domingo
1241,hello. how can i help you today?,single_item_query,boots_other_1,customer,thank you,thank you,thank you,2,hello how can i help you today
1242,i'd be very happy to look into this for you,single_item_query,boots_other_1,customer,nope,nope,nope,8,id be very happy to look into this for you
1243,give me just one moment,single_item_query,boots_other_1,customer,"hi, i am trying to order this jacket, it's priced at <amount> but another company has it priced at 69.",hi i am trying to order this jacket its priced at amount but another company has it priced at ,hi i am trying to order this jacket its priced at amount but another company has it priced at ,287,give me just one moment
1244,it is real leather,single_item_query,boots_other_1,customer,"yes, my name is rodriguez domingo, my account id is <account_id>",yes my name is rodriguez domingo my account id is account_id,yes my name is rodriguez domingo my account id is account_id,122,it is real leather
1245,although it is true to it's size our boots do come with an additional one sixth of an inch in width,single_item_query,boots_other_1,customer,"yes, order id is <order_id>",yes order id is order_id,yes order id is order_id,108,although it is true to its size our boots do come with an additional one sixth of an inch in width
1246,is there anything else i can help you with ?,single_item_query,boots_other_1,customer,"you can't come down on the price at all?  i mean, your competitor has it priced at 20 dollars lower",you cant come down on the price at all i mean your competitor has it priced at dollars lower,you cant come down on the price at all i mean your competitor has it priced at dollars lower,356,is there anything else i can help you with 
1247,have a great day!,single_item_query,boots_other_1,customer,"no, thank you.  that is all.  thank you for solving this issues.  i am very satisfied",no thank you that is all thank you for solving this issues i am very satisfied,no thank you that is all thank you for solving this issues i am very satisfied,325,have a great day
1248,"hi, how can i help you today?",shipping_issue,cost,customer,"hi, i just signed up for a premium subscription and would like to know the subscription fee because i would like to keep my annual subscription active",hi i just signed up for a premium subscription and would like to know the subscription fee because i would like to keep my annual subscription active,hi i just signed up for a premium subscription and would like to know the subscription fee because i would like to keep my annual subscription active,194,hi how can i help you today
1249,"sure, i'd be happy to look into that for you",shipping_issue,cost,customer,name: alessandro phoenix and account id: <account_id>,name alessandro phoenix and account id account_id,name alessandro phoenix and account id account_id,220,sure id be happy to look into that for you
1250,are you looking to cancel your order due to the high shipping cost?,shipping_issue,cost,customer,okay can i go ahead and pay that while we are online noe,okay can i go ahead and pay that while we are online noe,okay can i go ahead and pay that while we are online noe,215,are you looking to cancel your order due to the high shipping cost
1251,"sure, can i have your name please?",shipping_issue,cost,customer,now,now,now,218,sure can i have your name please
1252,thank you mr bouchard,shipping_issue,cost,customer,do i have a card that is on my account?,do i have a card that is on my account,do i have a card that is on my account,280,thank you mr bouchard
1253,"can i have your user name, email address and order id please?",shipping_issue,cost,customer,"okay, yea lets use that one",okay yea lets use that one,okay yea lets use that one,135,can i have your user name email address and order id please
